turn,player,response,predicted_action,predicted_normalized,predicted_family,chaga_top1_action,chaga_family,chaga_top3_actions,teacher_accept_top3,top1_match,top3_match,relaxed_match
28,1,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
30,2,PLAY B1,Play W1,PLAY W1,PLAY,PLAY B1,PLAY,PLAY B1,True,False,False,False
33,0,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
35,1,PLAY T9,Play T9,PLAY T9,PLAY,PLAY T9,PLAY,PLAY T9|PLAY B5|PLAY B2,True,True,True,True
37,2,PLAY B1,Play W1,PLAY W1,PLAY,PLAY B1,PLAY,PLAY B1,True,False,False,False
41,0,PLAY B2,Play W7,PLAY W7,PLAY,PLAY B2,PLAY,PLAY B2|PLAY W9,True,False,False,False
44,0,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9,True,True,True,True
45,2,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
49,0,PLAY T3,Play T3,PLAY T3,PLAY,PLAY T3,PLAY,PLAY T3,False,True,True,True
51,1,PLAY B2,Play T8,PLAY T8,PLAY,PLAY B2,PLAY,PLAY B2|PLAY T8,False,False,True,False
53,2,PLAY F2,Play W8,PLAY W8,PLAY,PLAY F2,PLAY,PLAY F2|PLAY W8,False,False,True,False
57,0,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T3,False,True,True,True
59,1,PLAY T8,Play W3,PLAY W3,PLAY,PLAY T8,PLAY,PLAY T8|PLAY W3,False,False,True,False
61,2,PLAY B9,Play W8,PLAY W8,PLAY,PLAY B9,PLAY,PLAY B9|PLAY W8,False,False,True,False
65,0,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5,False,True,True,True
67,1,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY T5,False,True,True,True
69,2,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8|PLAY B6,False,True,True,True
73,0,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
75,1,PLAY J2,Play J2,PLAY J2,PLAY,PLAY J2,PLAY,PLAY J2|PLAY B5,False,True,True,True
77,2,PLAY B6,Play W6,PLAY W6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY W6,False,False,True,False
80,0,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY T1,False,True,True,True
82,1,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY T1,False,True,True,True
84,2,PLAY T1,Play W6,PLAY W6,PLAY,PLAY T1,PLAY,PLAY T1|PLAY W6,False,False,True,False
88,0,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6|PLAY T1,False,True,True,True
90,1,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5|PLAY B5,False,True,True,True
92,2,PLAY J3,Play W6,PLAY W6,PLAY,PLAY J3,PLAY,PLAY J3,False,False,False,False
96,0,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2,False,True,True,True
98,1,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY B5,False,True,True,True
100,2,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY W4|PLAY W6,False,True,True,True
104,0,PLAY W6,Play W6,PLAY W6,PLAY,PLAY W6,PLAY,PLAY W6|PLAY T1,False,True,True,True
108,1,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY B5,False,True,True,True
110,2,PLAY W4,Play W4,PLAY W4,PLAY,PLAY W4,PLAY,PLAY W4|PLAY W8,False,True,True,True
113,0,CHI T2,Chi T2,CHI T2,CHI,CHI T2,CHI,CHI T2,False,True,True,True
115,1,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2|PLAY B5,False,True,True,True
117,2,PLAY B6,Play B6,PLAY B6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY B8|PLAY W6,False,True,True,True
121,0,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6,False,True,True,True
123,1,PLAY B5,Play W1,PLAY W1,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W1,False,False,True,False
125,2,PLAY B5,Play T4,PLAY T4,PLAY,PLAY B5,PLAY,PLAY B5|PLAY T4|PLAY B8,False,False,True,False
129,0,PLAY J2,Play J2,PLAY J2,PLAY,PLAY J2,PLAY,PLAY J2|PLAY B8,False,True,True,True
131,1,PLAY T8,Play T8,PLAY T8,PLAY,PLAY T8,PLAY,PLAY T8|PLAY W1,False,True,True,True
133,2,PLAY J2,Play T4,PLAY T4,PLAY,PLAY J2,PLAY,PLAY J2|PLAY W4,True,False,False,False
137,0,PLAY T3,Play T3,PLAY T3,PLAY,PLAY T3,PLAY,PLAY T3,False,True,True,True
139,1,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY B8,False,True,True,True
141,2,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
145,0,PLAY B8,Play B7,PLAY B7,PLAY,PLAY B8,PLAY,PLAY B8|PLAY B7,False,False,True,False
146,1,HU,Hu,HU,HU,HU,HU,HU|PASS,False,True,True,True
2,0,PLAY B2,Play W5,PLAY W5,PLAY,PLAY B2,PLAY,PLAY B2|PLAY J1,True,False,False,False
4,1,PLAY F1,Play W1,PLAY W1,PLAY,PLAY F1,PLAY,PLAY F1|PLAY B8|PLAY T4,True,False,False,False
8,3,PLAY F4,Play T1,PLAY T1,PLAY,PLAY F4,PLAY,PLAY F4|PLAY T8|PLAY F3,True,False,False,False
9,1,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
12,0,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
14,1,PLAY W3,Play W1,PLAY W1,PLAY,PLAY W3,PLAY,PLAY W3|PLAY B8|PLAY W1,True,False,True,True
18,3,PLAY T6,Play T1,PLAY T1,PLAY,PLAY T6,PLAY,PLAY T6|PLAY F3|PLAY T8,True,False,False,False
20,0,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY F1|PLAY J1,True,True,True,True
22,1,PLAY B8,Play W1,PLAY W1,PLAY,PLAY B8,PLAY,PLAY B8|PLAY W1|PLAY W3,True,False,True,True
26,3,PLAY T8,Play W3,PLAY W3,PLAY,PLAY T8,PLAY,PLAY T8|PLAY F3|PLAY W3,True,False,True,True
28,0,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1,True,True,True,True
30,1,PLAY W6,Play W1,PLAY W1,PLAY,PLAY W6,PLAY,PLAY W6,True,False,False,False
32,3,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
34,0,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY F2|PLAY J1,True,True,True,True
2,0,PLAY F1,Play W8,PLAY W8,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J3|PLAY B5,True,False,False,False
6,2,PLAY F3,Play W4,PLAY W4,PLAY,PLAY F3,PLAY,PLAY F3|PLAY J1|PLAY J3,True,False,False,False
8,3,PLAY T3,Play T3,PLAY T3,PLAY,PLAY T3,PLAY,PLAY T3,True,True,True,True
10,0,PLAY J3,Play W1,PLAY W1,PLAY,PLAY J3,PLAY,PLAY J3|PLAY W1,True,False,True,True
14,2,PLAY F2,Play B7,PLAY B7,PLAY,PLAY F2,PLAY,PLAY F2|PLAY J3|PLAY J1,True,False,False,False
16,3,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6,True,True,True,True
18,0,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY T1,True,True,True,True
22,2,PLAY J1,Play W1,PLAY W1,PLAY,PLAY J1,PLAY,PLAY J1|PLAY J3,True,False,False,False
24,3,PLAY B8,Play W5,PLAY W5,PLAY,PLAY B8,PLAY,PLAY B8|PLAY B7,True,False,False,False
27,2,PLAY J3,Play W1,PLAY W1,PLAY,PLAY J3,PLAY,PLAY J3,True,False,False,False
29,3,PLAY B5,Play W5,PLAY W5,PLAY,PLAY B5,PLAY,PLAY B5|PLAY B7,True,False,False,False
31,0,PLAY T1,Play W4,PLAY W4,PLAY,PLAY T1,PLAY,PLAY T1,True,False,False,False
35,2,PLAY T6,Play W1,PLAY W1,PLAY,PLAY T6,PLAY,PLAY T6|PLAY W1,True,False,True,True
37,3,PLAY B9,Play W5,PLAY W5,PLAY,PLAY B9,PLAY,PLAY B9|PLAY B7,True,False,False,False
39,0,PLAY W4,Play W4,PLAY W4,PLAY,PLAY W4,PLAY,PLAY W4|PLAY B5,True,True,True,True
43,2,PLAY T9,Play W1,PLAY W1,PLAY,PLAY T9,PLAY,PLAY T9|PLAY W1,True,False,True,True
44,0,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
48,2,PLAY W8,Play W1,PLAY W1,PLAY,PLAY W8,PLAY,PLAY W8|PLAY W1,False,False,True,False
49,3,CHI W7,Chi W7,CHI W7,CHI,CHI W7,CHI,CHI W7,False,True,True,True
51,0,PLAY B4,Play T5,PLAY T5,PLAY,PLAY B4,PLAY,PLAY B4,False,False,False,False
55,2,PLAY T7,Play W1,PLAY W1,PLAY,PLAY T7,PLAY,PLAY T7|PLAY W1,False,False,True,False
57,3,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6,False,True,True,True
59,0,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1,False,True,True,True
63,2,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
65,3,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1,False,True,True,True
67,0,PLAY W5,Play W5,PLAY W5,PLAY,PLAY W5,PLAY,PLAY W5,False,True,True,True
68,3,HU,Hu,HU,HU,HU,HU,HU|PENG,False,True,True,True
4,1,PLAY F1,Play W1,PLAY W1,PLAY,PLAY F1,PLAY,PLAY F1|PLAY W1|PLAY F2,True,False,True,True
8,2,PLAY F2,Play F2,PLAY F2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY J1,True,True,True,True
10,3,PLAY J1,Play W3,PLAY W3,PLAY,PLAY J1,PLAY,PLAY J1|PLAY T9|PLAY F3,True,False,False,False
14,1,PLAY B3,Play T7,PLAY T7,PLAY,PLAY B3,PLAY,PLAY B3|PLAY T1|PLAY T2,True,False,False,False
16,2,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1,True,True,True,True
18,3,PLAY T9,Play W3,PLAY W3,PLAY,PLAY T9,PLAY,PLAY T9|PLAY F3,True,False,False,False
22,1,PLAY T1,Play T7,PLAY T7,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T2,True,False,False,False
24,2,PLAY J2,Play B6,PLAY B6,PLAY,PLAY J2,PLAY,PLAY J2,True,False,False,False
26,3,PLAY F3,Play W5,PLAY W5,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
29,1,CHI T7,Chi T7,CHI T7,CHI,CHI T7,CHI,CHI T7,False,True,True,True
32,1,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2,True,True,True,True
34,2,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5|PLAY B8,True,True,True,True
36,3,PLAY B5,Play T5,PLAY T5,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W9|PLAY T5,True,False,True,True
39,1,CHI W7,Chi W7,CHI W7,CHI,CHI W7,CHI,CHI W7,False,True,True,True
41,2,PLAY B9,Play B6,PLAY B6,PLAY,PLAY B9,PLAY,PLAY B9|PLAY W2,True,False,False,False
43,3,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1,True,True,True,True
47,1,PLAY T4,Play B8,PLAY B8,PLAY,PLAY T4,PLAY,PLAY T4,False,False,False,False
49,2,PLAY T5,Play T5,PLAY T5,PLAY,PLAY T5,PLAY,PLAY T5,True,True,True,True
51,3,PLAY B4,Play T5,PLAY T5,PLAY,PLAY B4,PLAY,PLAY B4|PLAY T5|PLAY W9,True,False,True,True
4,1,PLAY J3,Play W2,PLAY W2,PLAY,PLAY J3,PLAY,PLAY J3|PLAY J1,True,False,False,False
8,3,PLAY F1,Play W1,PLAY W1,PLAY,PLAY F1,PLAY,PLAY F1|PLAY T8|PLAY B9,True,False,False,False
12,1,PLAY J1,Play W2,PLAY W2,PLAY,PLAY J1,PLAY,PLAY J1,True,False,False,False
16,3,PLAY B9,Play W2,PLAY W2,PLAY,PLAY B9,PLAY,PLAY B9|PLAY B7,True,False,False,False
20,1,PLAY B2,Play W5,PLAY W5,PLAY,PLAY B2,PLAY,PLAY B2,True,False,False,False
24,3,PLAY F2,Play W2,PLAY W2,PLAY,PLAY F2,PLAY,PLAY F2|PLAY B7,True,False,False,False
28,1,PLAY W5,Play W5,PLAY W5,PLAY,PLAY W5,PLAY,PLAY W5|PLAY T5,True,True,True,True
32,3,PLAY W5,Play W2,PLAY W2,PLAY,PLAY W5,PLAY,PLAY W5|PLAY B7,True,False,False,False
36,1,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY T5,True,True,True,True
39,1,PLAY T5,Play W6,PLAY W6,PLAY,PLAY T5,PLAY,PLAY T5|PLAY W6,True,False,True,True
44,1,PLAY F1,Play W6,PLAY W6,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
48,3,PLAY B7,Play T1,PLAY T1,PLAY,PLAY B7,PLAY,PLAY B7|PLAY T1,True,False,True,True
52,1,PLAY J3,Play W6,PLAY W6,PLAY,PLAY J3,PLAY,PLAY J3,False,False,False,False
56,3,PLAY B5,Play W2,PLAY W2,PLAY,PLAY B5,PLAY,PLAY B5,True,False,False,False
60,1,PLAY B5,Play W1,PLAY W1,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W2|PLAY W1,False,False,True,False
63,3,PLAY W2,Play W2,PLAY W2,PLAY,PLAY W2,PLAY,PLAY W2|PLAY B6|PLAY T1,False,True,True,True
67,1,PLAY B3,Play W1,PLAY W1,PLAY,PLAY B3,PLAY,PLAY B3,False,False,False,False
71,3,PLAY B3,Play B3,PLAY B3,PLAY,PLAY B3,PLAY,PLAY B3|PLAY B7|PLAY T1,False,True,True,True
75,1,PLAY W8,Play W1,PLAY W1,PLAY,PLAY W8,PLAY,PLAY W8,False,False,False,False
78,3,PLAY B7,Play T1,PLAY T1,PLAY,PLAY B7,PLAY,PLAY B7|PLAY T7|PLAY T1,False,False,True,False
81,1,CHI B8,Chi B8,CHI B8,CHI,CHI B8,CHI,CHI B8,False,True,True,True
85,3,PLAY T1,Play W1,PLAY W1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T7|PLAY B6,False,False,False,False
89,1,PLAY W1,Play W1,PLAY W1,PLAY,PLAY W1,PLAY,PLAY W1|PLAY W4,False,True,True,True
93,3,PLAY W1,Play B6,PLAY B6,PLAY,PLAY W1,PLAY,PLAY W1|PLAY B6,False,False,True,False
97,1,PLAY T1,Play W4,PLAY W4,PLAY,PLAY T1,PLAY,PLAY T1|PLAY W4,False,False,True,False
101,3,PLAY T4,Play T4,PLAY T4,PLAY,PLAY T4,PLAY,PLAY T4|PLAY J1,False,True,True,True
105,1,PLAY W2,Play W6,PLAY W6,PLAY,PLAY W2,PLAY,PLAY W2|PLAY W1,False,False,False,False
109,3,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2|PLAY J1,False,True,True,True
113,1,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1,False,True,True,True
117,3,PLAY J1,Play J1,PLAY J1,PLAY,PLAY J1,PLAY,PLAY J1|PLAY T4|PLAY W1,False,True,True,True
121,1,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7,False,True,True,True
125,3,PLAY B1,Play B1,PLAY B1,PLAY,PLAY B1,PLAY,PLAY B1,False,True,True,True
129,1,PLAY B5,Play B5,PLAY B5,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W8,False,True,True,True
133,3,PLAY B8,Play B8,PLAY B8,PLAY,PLAY B8,PLAY,PLAY B8|PLAY W1,False,True,True,True
137,1,PLAY W7,Play W4,PLAY W4,PLAY,PLAY W7,PLAY,PLAY W7,False,False,False,False
140,3,PLAY W1,Play F2,PLAY F2,PLAY,PLAY W1,PLAY,PLAY W1|PLAY B2|PLAY F2,False,False,True,False
2,0,PLAY F2,Play W9,PLAY W9,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F4|PLAY W9,True,False,True,True
5,2,CHI W8,Chi W8,CHI W8,CHI,CHI W8,CHI,CHI W8|PASS,False,True,True,True
9,0,PLAY F4,Play W5,PLAY W5,PLAY,PLAY F4,PLAY,PLAY F4|PLAY W9,True,False,False,False
13,2,PLAY F1,Play B2,PLAY B2,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J1,True,False,False,False
17,0,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9,True,True,True,True
20,2,CHI W5,Chi W5,CHI W5,CHI,CHI W5,CHI,CHI W5|CHI W4,False,True,True,True
24,0,PLAY T8,Play W4,PLAY W4,PLAY,PLAY T8,PLAY,PLAY T8|PLAY B1,True,False,False,False
28,2,PLAY B9,Play B2,PLAY B2,PLAY,PLAY B9,PLAY,PLAY B9|PLAY W3,True,False,False,False
33,2,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY W3|PLAY B6,True,True,True,True
40,0,PLAY W7,Play W4,PLAY W4,PLAY,PLAY W7,PLAY,PLAY W7|PLAY T7,True,False,False,False
44,2,PLAY B6,Play W6,PLAY W6,PLAY,PLAY B6,PLAY,PLAY B6|PLAY T5,False,False,False,False
47,0,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY B6,False,True,True,True
51,2,PLAY T5,Play W6,PLAY W6,PLAY,PLAY T5,PLAY,PLAY T5|PLAY W6,False,False,True,False
55,0,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9,False,True,True,True
59,2,PLAY T4,Play W6,PLAY W6,PLAY,PLAY T4,PLAY,PLAY T4|PLAY T7,False,False,False,False
62,0,PLAY B4,Play T4,PLAY T4,PLAY,PLAY B4,PLAY,PLAY B4|PLAY T2|PLAY B6,False,False,False,False
66,2,PLAY B5,Play W6,PLAY W6,PLAY,PLAY B5,PLAY,PLAY B5|PLAY T7|PLAY W6,False,False,True,False
70,0,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7|PLAY B6,False,True,True,True
74,2,PLAY T2,Play W6,PLAY W6,PLAY,PLAY T2,PLAY,PLAY T2|PLAY T7,False,False,False,False
78,0,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2,False,True,True,True
82,2,PLAY B3,Play W6,PLAY W6,PLAY,PLAY B3,PLAY,PLAY B3|PLAY T7|PLAY W6,False,False,True,False
86,0,PLAY B2,Play B2,PLAY B2,PLAY,PLAY B2,PLAY,PLAY B2|PLAY T2,False,True,True,True
90,2,PLAY T7,Play W6,PLAY W6,PLAY,PLAY T7,PLAY,PLAY T7|PLAY W6|PLAY W3,False,False,True,False
94,0,PLAY F1,Play F1,PLAY F1,PLAY,PLAY F1,PLAY,PLAY F1,False,True,True,True
98,2,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7,False,True,True,True
4,1,PLAY F3,Play W3,PLAY W3,PLAY,PLAY F3,PLAY,PLAY F3|PLAY F2|PLAY T1,True,False,False,False
8,3,PLAY F4,Play W1,PLAY W1,PLAY,PLAY F4,PLAY,PLAY F4|PLAY F2,True,False,False,False
12,1,PLAY F2,Play W3,PLAY W3,PLAY,PLAY F2,PLAY,PLAY F2|PLAY T1|PLAY F4,True,False,False,False
16,3,PLAY F2,Play W1,PLAY W1,PLAY,PLAY F2,PLAY,PLAY F2|PLAY T9,True,False,False,False
20,1,PLAY F4,Play W3,PLAY W3,PLAY,PLAY F4,PLAY,PLAY F4|PLAY J1,True,False,False,False
24,3,PLAY J1,Play W1,PLAY W1,PLAY,PLAY J1,PLAY,PLAY J1,True,False,False,False
27,1,CHI W8,Chi W8,CHI W8,CHI,CHI W8,CHI,CHI W8|PASS,False,True,True,True
31,3,PLAY B7,Play W1,PLAY W1,PLAY,PLAY B7,PLAY,PLAY B7|PLAY T1|PLAY T8,True,False,False,False
35,1,PLAY T1,Play T1,PLAY T1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY B4,True,True,True,True
39,3,PLAY T1,Play W1,PLAY W1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY T8,True,False,False,False
43,1,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2|PLAY B4,True,True,True,True
47,3,PLAY F1,Play W1,PLAY W1,PLAY,PLAY F1,PLAY,PLAY F1,True,False,False,False
51,1,PLAY J2,Play T9,PLAY T9,PLAY,PLAY J2,PLAY,PLAY J2|PLAY B4,False,False,False,False
54,3,CHI W4,Chi W4,CHI W4,CHI,CHI W4,CHI,CHI W4|PASS,False,True,True,True
58,1,PLAY J1,Play T9,PLAY T9,PLAY,PLAY J1,PLAY,PLAY J1,True,False,False,False
62,3,PLAY T1,Play W1,PLAY W1,PLAY,PLAY T1,PLAY,PLAY T1|PLAY W2,False,False,False,False
66,1,PLAY B4,Play T9,PLAY T9,PLAY,PLAY B4,PLAY,PLAY B4,False,False,False,False
70,3,PLAY W6,Play W1,PLAY W1,PLAY,PLAY W6,PLAY,PLAY W6|PLAY W2,False,False,False,False
74,1,PLAY F1,Play T9,PLAY T9,PLAY,PLAY F1,PLAY,PLAY F1,False,False,False,False
78,3,PLAY J2,Play W1,PLAY W1,PLAY,PLAY J2,PLAY,PLAY J2,False,False,False,False
82,1,PLAY B2,Play T9,PLAY T9,PLAY,PLAY B2,PLAY,PLAY B2,False,False,False,False
86,3,PLAY W2,Play W1,PLAY W1,PLAY,PLAY W2,PLAY,PLAY W2,False,False,False,False
4,1,PLAY J1,Play W3,PLAY W3,PLAY,PLAY J1,PLAY,PLAY J1|PLAY W8|PLAY T3,True,False,False,False
8,3,PLAY F2,Play W3,PLAY W3,PLAY,PLAY F2,PLAY,PLAY F2|PLAY F3,True,False,False,False
12,1,PLAY W8,Play W8,PLAY W8,PLAY,PLAY W8,PLAY,PLAY W8|PLAY T3,True,True,True,True
16,3,PLAY F3,Play W3,PLAY W3,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
19,1,CHI W2,Chi W2,CHI W2,CHI,CHI W2,CHI,CHI W2,False,True,True,True
23,3,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3,True,True,True,True
27,1,PLAY J2,Play W6,PLAY W6,PLAY,PLAY J2,PLAY,PLAY J2|PLAY W6|PLAY T3,True,False,True,True
31,3,PLAY B2,Play T5,PLAY T5,PLAY,PLAY B2,PLAY,PLAY B2,True,False,False,False
35,1,PLAY W3,Play W3,PLAY W3,PLAY,PLAY W3,PLAY,PLAY W3|PLAY W6|PLAY T3,True,True,True,True
38,3,CHI T8,Chi T8,CHI T8,CHI,CHI T8,CHI,CHI T8|PASS,False,True,True,True
42,1,PLAY W6,Play B4,PLAY B4,PLAY,PLAY W6,PLAY,PLAY W6|PLAY T3|PLAY B4,True,False,True,True
46,3,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4,True,True,True,True
50,1,PLAY T6,Play B4,PLAY B4,PLAY,PLAY T6,PLAY,PLAY T6|PLAY T3|PLAY B4,False,False,True,False
54,3,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2|PLAY T5,False,True,True,True
58,1,PLAY B4,Play B4,PLAY B4,PLAY,PLAY B4,PLAY,PLAY B4|PLAY W4|PLAY T3,False,True,True,True
62,3,PLAY T2,Play T2,PLAY T2,PLAY,PLAY T2,PLAY,PLAY T2|PLAY T5,False,True,True,True
66,1,PLAY W4,Play W4,PLAY W4,PLAY,PLAY W4,PLAY,PLAY W4|PLAY T3|PLAY F2,False,True,True,True
70,3,PLAY B8,Play B8,PLAY B8,PLAY,PLAY B8,PLAY,PLAY B8,False,True,True,True
74,1,PLAY B1,Play T3,PLAY T3,PLAY,PLAY B1,PLAY,PLAY B1|PLAY T3|PLAY F2,False,False,True,False
78,3,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9,False,True,True,True
82,1,PLAY T7,Play T7,PLAY T7,PLAY,PLAY T7,PLAY,PLAY T7|PLAY F2|PLAY T3,False,True,True,True
86,3,PLAY T6,Play T6,PLAY T6,PLAY,PLAY T6,PLAY,PLAY T6,False,True,True,True
90,1,PLAY B7,Play B7,PLAY B7,PLAY,PLAY B7,PLAY,PLAY B7|PLAY T3|PLAY J2,True,True,True,True
93,3,HU,Hu,HU,HU,HU,HU,HU|CHI B6|PASS,False,True,True,True
2,0,PLAY T1,Play W2,PLAY W2,PLAY,PLAY T1,PLAY,PLAY T1|PLAY W2|PLAY W4,True,False,True,True
6,2,PLAY B4,Play W1,PLAY W1,PLAY,PLAY B4,PLAY,PLAY B4|PLAY F3|PLAY T6,True,False,False,False
10,0,PLAY F1,Play W4,PLAY W4,PLAY,PLAY F1,PLAY,PLAY F1|PLAY W4|PLAY T8,True,False,True,True
14,2,PLAY T3,Play W1,PLAY W1,PLAY,PLAY T3,PLAY,PLAY T3,True,False,False,False
18,0,PLAY T1,Play W4,PLAY W4,PLAY,PLAY T1,PLAY,PLAY T1|PLAY B2|PLAY T8,True,False,False,False
21,0,PENG,Pass,PASS,PASS,PENG,PENG,PENG,False,False,False,False
25,2,PLAY T6,Play W7,PLAY W7,PLAY,PLAY T6,PLAY,PLAY T6|PLAY W7|PLAY T9,True,False,True,True
29,0,PLAY F4,Play W2,PLAY W2,PLAY,PLAY F4,PLAY,PLAY F4|PLAY W4|PLAY W9,True,False,False,False
33,2,PLAY B5,Play W7,PLAY W7,PLAY,PLAY B5,PLAY,PLAY B5|PLAY W7|PLAY T9,True,False,True,True
37,0,PLAY W9,Play W2,PLAY W2,PLAY,PLAY W9,PLAY,PLAY W9|PLAY W4,True,False,False,False
41,2,PLAY W7,Play W7,PLAY W7,PLAY,PLAY W7,PLAY,PLAY W7|PLAY W9|PLAY T9,True,True,True,True
44,0,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
47,2,PLAY W9,Play W9,PLAY W9,PLAY,PLAY W9,PLAY,PLAY W9|PLAY T8|PLAY T9,True,True,True,True
50,0,PENG,Peng,PENG,PENG,PENG,PENG,PENG,False,True,True,True
4,1,PLAY F3,Play W8,PLAY W8,PLAY,PLAY F3,PLAY,PLAY F3,True,False,False,False
8,3,PLAY F1,Play T3,PLAY T3,PLAY,PLAY F1,PLAY,PLAY F1|PLAY J1|PLAY J2,True,False,False,False
12,1,PLAY J2,Play W8,PLAY W8,PLAY,PLAY J2,PLAY,PLAY J2|PLAY W8,True,False,True,True
16,3,PLAY J1,Play T3,PLAY T3,PLAY,PLAY J1,PLAY,PLAY J1|PLAY J2,True,False,False,False
